"LID","Name","Region","Flaeche","Einwohner","BIP"
"209","Thailand","Südostasien","514000","61230874","388700000000"
"210","Togo","Afrika","56785","5018502","8600000000"
"211","Tokelau","Ozeanien","10","1458","1500000"
"212","Tonga","Ozeanien","748","102321","238000000"
"213","Trinidad und Tobago","Mittelamerika","5128","1175523","9410000000"
"214","Tunesien","Mittlerer Osten","163610","9593402","52600000000"
"215","Türkei","Europa","780580","65666677","409400000000"
"216","Turkmenistan","Osteuropa","488100","4518268","7700000000"
"217","Turks and Caicos Inseln","Mittelamerika","430","17502","117000000"
"218","Tuvalu","Ozeanien","26","10838","7800000"
"219","Uganda","Afrika","236040","23317560","24200000000"
"220","Ukraine","Osteuropa","603700","49153027","109500000000"
"221","Vereinigte Arabische Emirate","Mittlerer Osten","82880","2369153","41500000000"
"222","Groß-Britannien","Europa","244820","59511464","1290000000000"
"223","Vereinigte Staaten von Amerika","Nordamerika","9629091","275562673","9255000000000"
"224","Uruguay","Südamerika","176220","3334074","28000000000"
"225","Uzbekistan","Osteuropa","447400","24755519","59300000000"
"226","Vanuatu","Ozeanien","14760","189618","245000000"
"227","Venezuela","Südamerika","912050","23542649","182800000000"
"228","Vietnam","Südostasien","329560","78773873","143100000000"
"229","Virgin Islands","Mittelamerika","352","120917","1800000000"
"230","Wallis und Futuna","Ozeanien","274","15283","28700000"
"231","West Bank","Mittlerer Osten","5860","2020298","3300000000"
"232","Westliche Sahara","Afrika","266000","244943",""
"233","Jemen","Mittlerer Osten","527970","17479206","12700000000"
"234","Zambia","Afrika","752614","9582418","8500000000"
"235","Zimbabwe","Afrika","390580","11342521","26500000000"
